source,target
VENICE,Veronese
VENICE,Tintoretto
VENICE,Jacopo Bassano
VENICE,Andrea Palladio
FLORENCE,ROME
FLORENCE,Pontormo
FLORENCE,Andrea del Sarto
FLORENCE,Alberti
FLORENCE,Sandro Botticelli
FLORENCE,Brunelleschi
FLORENCE,Lorenzo Ghiberti
FLORENCE,Cimabue
FLORENCE,Duccio Buonisegna
FLORENCE,Donatello
FLORENCE,Filippo Lippi
FLORENCE,Fra Angelico
FLORENCE,Ghirlandaio
FLORENCE,Giotto di Bondone
FLORENCE,Leonardo
FLORENCE,Mantegna
FLORENCE,Massaccio
FLORENCE,Parmigianino
FLORENCE,Michelangelo
FLORENCE,Perugino
FLORENCE,Piero della Francesca
FLORENCE,Luca Della Robia
FLORENCE,Signorelli
FLORENCE,Andrea Della Robia
FLORENCE,Raphael
FLORENCE,Antonio Pollaiuolo
FLORENCE,Taddeo Gaddi
FLORENCE,Verrocchio
FLORENCE,Paolo Ucello
FLORENCE,ROME
Gentile Bellini,Giovanni Bellini
MANTUA,Giulio Romano
MANTUA,Alberti
MANTUA,Andrea Palladio
MANTUA,Mantegna
MILAN,Bramante
MILAN,Leonardo
NAPLES,ROME
NAPLES,Antonello de Messina
PADUA,Donatello
PADUA,Filippo Lippi
PADUA,Giotto di Bondone
PADUA,Jacopo Bellini
PADUA,Mantegna
PERUGIA,Perugino
PERUGIA,Pinturicchio
ROME,Sandro Botticelli
ROME,Fra Angelico
ROME,Giulio Romano
ROME,Sandro Botticelli
ROME,Bramante
ROME,Cimabue
ROME,Donatello
ROME,Leonardo
ROME,Michelangelo
ROME,Perugino
ROME,Raphael
ROME,Parmigianino
ROME,Signorelli
ROME,Antonio Bazzi
ROME,Pinturicchio
ROME,Sebastiano del Piombo
SIENA,Duccio Buonisegna
SIENA,Antonio Bazzi
SIENA,Signorelli
SIENA,FLORENCE
SIENA,Giovanni Pisano
URBINO,Bramante
URBINO,Piero della Francesca
URBINO,Raphael
VENICE,Andrea Palladio
VENICE,Antonello de Messina
VENICE,Gentile Bellini
VENICE,Giorgione
VENICE,Giovanni Bellini
VENICE,Jacopo Bellini
VENICE,Mantegna
VENICE,ROME
VENICE,PADUA
VENICE,Titian
VENICE,Verrocchio
VENICE,Sebastiano del Piombo
VENICE,Lorenzo Lotto
VENICE,Carlo Crivelli
VENICE,Vittore Carpaccio
VENICE,Andrea Schiavone
SIENA,Pinturicchio